rank,reasoned_threat,zoning_plain,zoning_code,parcel_count,acres,dist_mi,lat,lon,LOCATION,OWNER1,owner_type,PARCEL,rationale
1,High (longer-term),Transit-Oriented Development (American Fork),American Fork:TOD,1,15.28,0.39,40.371842,-111.83212,,BACH INVESTMENTS LLC,company/investor,130380068,"The single most credible future apartment site: 15.3 vacant acres zoned TOD, ~0.4 mi NW, owned by BACH INVESTMENTS LLC. Verified: BACH = an affiliate of Bach Homes (Draper, UT; principal Shon Rindlisbacher), a self-described land-development/apartment-construction firm that adds 350-700 apartment units/yr and already built the 285-unit Bach Homes American Fork Apartments (2021) and the 338-unit Elevate at 620 - clear capacity and intent to develop a TOD site at 60+ du/ac. BUT no site plan, preliminary plat, or development agreement for parcel 13:038:0068 survived verification, and the TOD framework itself (Station Area Plan GPA) was still only PC-recommended/not-adopted as of Aug 2025. So: highest ceiling, real developer, no filed project yet -> a 3-7 yr threat, not imminent. Sources: Utah County land records; bachhomes.com; AF PC records."
2,"High (longer-term, entitlement-dependent)",Residential Agricultural (1 ac) (American Fork); Residential Agricultural (5 ac) (American Fork); Agricultural (5 ac) (Lehi),"American Fork:RA-1, American Fork:RA-5, Lehi:A-5",9,98.25,0.23,40.371909,-111.839083,,,individual,"130380049,130380069,130380005,130380006,130380030,130380047,130410044,130410056,130410080","The ~98-ac band abutting the subject (0.23 mi). Its AF-side ~70 acres is zoned RA-1/RA-5 today but designated Transit-Oriented Development in American Fork's General Plan - a rezone-in-waiting to high density, and part of a ~116-ac vacant TOD land bank around the Kelton also held by Silverado Partners LLC (~13 ac), OCAP AF TOD LLC (~6 ac) and AF I-15 LLC (~7 ac). Verified nuance: ownership is MIXED, not a single individual assemblage - control serial 13:041:0044 is individually held (Allred family) while 13:041:0080 in this cluster is actually BLUE SPRING PROPERTIES LLC, part of which was quit-claimed to UTA (+a UDOT easement) in Apr-2026 for FrontRunner double-track right-of-way. No rezone, plat, or master plan for these specific parcels survived verification. So: large TOD-planned land bank = a genuine long-horizon high-density threat, but raw, multi-owner, partly being consumed by transit infrastructure - not an entitled project. Sources: AF General Plan (Land_Use GIS); Utah County AbstractReverse/SerialByEntry."
3,Medium,Transit-Oriented Development (American Fork),American Fork:TOD,1,1.06,0.65,40.373125,-111.812926,518 W 200 S,RH JOHNSON CONSTRUCTION INC,company/investor,130420028,"RH Johnson Construction's parcel at 518 W 200 S is one of three parcels (13:042:0028/0062/0063, ~7.2 ac) the American Fork Planning Commission recommended 6-0 on Jan 8, 2025 to rezone from Planned Industrial (PI-1) to TOD - so it is entitlement-ADVANCING, contradicting a 'vacant/unentitled' read. But city staff stated it was a staff-initiated MAP CLEANUP 'not due to any proposed project'; one parcel is listed for sale; and staff flagged that development is 'challenged' by required right-of-way dedication and the FrontRunner double-tracking. By-right TOD density if adopted, but small and constraint-laden. Source: AF PC minutes 01/08/2025."
4,Low-Watch,Agricultural (5 ac) (Lehi); Commercial (Lehi),"Lehi:A-5, Lehi:C",2,37.21,0.63,40.379206,-111.829509,,,individual,"130160136,130160137","~37 vacant acres ~0.6 mi N (Lehi), zoned A-5 today but designated 'Commercial / Residential' in Lehi's General Plan - so residential (incl. attached) is plan-supported and a rezone is plausible over time. No filed application verified. A medium-horizon watch, not near-term. Source: Lehi General Plan (GIS)."
5,Low (down-ranked),Residential Agricultural (5 ac) (American Fork),American Fork:RA-5,2,23.16,0.45,40.366151,-111.832604,,BLUE SPRING PROPERTIES LLC,company/investor,"130390026,130390027","Blue Spring Properties' ~23 ac, ~0.45 mi S. DOWN-RANKED from the base 'Medium': American Fork's General Plan designates it Residential VERY-LOW Density (large-lot single-family), not apartments, and no development plan, rezone, or listing survived verification. High assessed value reflects hot-market low-density lot value, not apartment entitlement. (Blue Spring also owns TOD-area land near the station, serial 13:041:0080, part of which is being taken by UTA/UDOT for transit ROW.) Not an apartment threat as planned. Source: AF General Plan; Utah County records."
6,Low (down-ranked),Planned Community (Lehi),Lehi:PC,2,19.34,0.93,40.360777,-111.836651,,,individual,"130720029,130720031","The Lehi 'Planned Community' parcels (~19 ac, ~0.9 mi SW). DOWN-RANKED from base 'Medium-Unknown': the Lehi PC zone sets a base residential density of only 3 du/acre, and apartments (12 du/ac) or townhomes (8 du/ac) are legally possible ONLY as higher-density pods via discretionary Area Plan approval, offset by lower-density pods; the parcels are also mapped 'Environmentally Sensitive Area' and carry a ~$18k/ac (greenbelt/Farmland-Assessment) value. No active Area Plan for these parcels was found. A long-horizon, discretionary rezone play near Utah Lake - low near-term threat. Source: Lehi Development Code Ch.6; Lehi General Plan."
7,Low (down-ranked),Agricultural (5 ac) (Lehi),Lehi:A-5,2,51.44,1.0,40.363543,-111.841559,,WINDY CITY DEVELOPMENT LLC (ET AL),company/investor,"130360017,130720021","Windy City Development's ~51 ac, ~1.0 mi SW, zoned Lehi A-5 and designated 'Very-Low-Density Residential Agriculture' in Lehi's General Plan. No annexation, rezone, plat, or listing survived verification (status unresolved, but nothing supports an apartment use). Large developer-held holding, but the plan is large-lot ag-residential - not competitive apartment supply. Source: Lehi General Plan."
8,Low,Residential Agricultural (5 ac) (American Fork),American Fork:RA-5,1,8.59,0.56,40.365264,-111.817179,,HARBOR ENTERPRISES LLC,company/investor,130430103,"Harbor Enterprises' ~8.6 ac RA-5, ~0.56 mi S; AF General Plan Residential Low Density. Small, SF-planned, no verified activity. Not an apartment threat."
9,Low,"Single-Family (12,000 sf) (American Fork)",American Fork:R1-12000,1,17.17,0.84,40.361079,-111.815155,,WALKING THE WIRE LLC,company/investor,130700025,"Walking the Wire's ~17 ac, zoned R1-12000 and AF General Plan Residential Low Density - a single-family subdivision, not apartments. No verified development activity. Confirmed low."
10,Low,Planned Residential 2.0 (American Fork); Shoreline Protection (American Fork),"American Fork:PR-2.0, American Fork:SP",3,19.05,1.79,40.347391,-111.807807,,HARBOR VIEW DEVELOPMENT LLC (ET AL),company/investor,"130750025,130750028,130640059",Harbor View Development's ~19 ac ~1.8 mi S is largely AF 'Shoreline Protection' (non-developable lakeshore) with a low-density PR-2.0 remnant; sliver-shaped. Not an apartment site.
