check,metric,rr_t12_intake,rent_comps,supply_chart,tax,verdict,explanation
1,Subject market rent per unit,"$1,595 (HD T90 asking, mix-wtd)","$1,595 (HD T90 asking) — EXACT match","$1,588 (HD mix-wtd, TTM Q3'25-Q2'26)",n/a,TIES (benign),"RR-T12 and Rent Comps identical to the dollar; Supply Chart -$7/-0.4% is a T90-window vs TTM-12mo averaging difference, not a data conflict."
2,Subject effective rent per unit,"$1,501","$1,502","~$1,545 (Y0, TTM window)",n/a,TIES (benign),"$1 rounding between RR-T12 and Rent Comps; Supply Chart Y0 higher due to TTM window + concession treatment."
3,Subject occupancy,93.75% (rent roll / T12 physical),91.25% CoStar / 88.5% HD leased,~93.6% (from financials/T12),n/a,RECONCILES (different measures),"Subject-own-data figures agree (93.75% ~ 93.6%). CoStar 91.25% = vendor lag/definition; HD 88.5% = leased %. Underwrite 93.75%; vendor/HD softness is a RELATIVE signal only."
4,Unit count,240,240,240,240 (15 parcels),TIES,Identical everywhere.
5,Unit mix (1BR/2BR/3BR),84 / 132 / 24,84 / 132 / 24,240 (config 0/84/132/24),n/a,TIES,Identical across all workstreams and config.json.
6,In-place NOI,"$3,008,750 (standardized)",n/a,n/a,n/a,USE THIS,"Operator's printed NOI $3,361,990 overstated by $353,240 (taxes $293,800 + insurance $59,440 booked below the operator's NOI line). Verified to the penny."
7,In-place OpEx tax line,"$293,800 (RedIQ 82100, in OpEx)",n/a,n/a,"$302,467 true (all 15 parcels)",CORRECTION NEEDED,"Intake omits parcel 001 (commercial pad, $8,667). True in-place tax $302,467; intake NOI overstates true in-place NOI by $8,667 -> ~$3,000,083."
8,Year-1 (reassessed) taxes,"(carries $293,800)",n/a,n/a,"~$350,000 at ~$300k/unit basis",MODEL THE RESET,"Utah resets to market on sale. ~$350k reassessed = +$56,200 vs intake-carried -> Year-1 reassessed NOI ~$2,952,550 before rent upside. Assessor discretion on timing."
9,Subject vs comps (rent position),"contract $1,483 vs HD mkt $1,595 (~$112/u loss-to-lease)","$1,595 vs comp unit-wtd $1,660 = ~4% under; 2BR -5.2%, 3BR -4.7%, 1BR -1.4%","$1,588 vs 16-comp median $1,724 (below median)",n/a,DIRECTIONALLY CONSISTENT,"Both say subject below comp central tendency. Magnitude differs by set: Rent Comps = curated garden-B (anchor M2M on $1,660); Supply Chart = all 16 new-construction (broader, median $1,724). Overlapping comps agree within ~1% (Elevate ~4.4% outlier: studios/window)."
10,Subject $/SF (gross),n/a,"$1.64 vs comp simple-avg $1.66 (at par)",n/a,n/a,TIES,"Per-SF at par confirms the per-unit gap is a rent-level gap (2BR-led), not a size effect."
11,Forward 5-mi supply pipeline,n/a,n/a,ZERO (CoStar UC=0),n/a,VERIFY,"Roster 0 UC / 0 proposed; relies on CoStar alone (RealPage Grid-Performance shape has no status column). Run --diligence shadow-supply scan to confirm."
12,Re-stabilization timing,n/a,n/a,"95% occ by Y1 Base (Y2 Bear, immediate Bull); demand 725/yr; ~534-unit gap = mostly Sanctuary",n/a,SUPPORTIVE,"No forward supply + 725/yr demand -> market supports pushing rents near-immediately."
